Number,Title,Default_Spirits,Mandatory_Spirits,Mandatory_Aspects,Restricted_Spirits,Restricted_Aspects,Adversary,Board_Setup,Game_Effects,Description,Victory_Text,Unlocks
101,Spirits of Passion and Life,(none),"A Spread of Rampant Green, Volcano Looming High",,All other spirits,,England,Standard,Use Varied Terrains default scenario.,"It is said that Volcano Looming High used to have siblings, which it lost. Its grief lasted for centuries, until one days it met a spirit so full of life that it could not help but be drawn to it. This spirit of Green life itself drew the moody Volcano from its grief and offered it the possibility to create life anew.","The land itself celebrated their union, and from this unlikely alliance, a spirit as Wild as fire came to be - but this is another story altogether.","If you won during your first game, reveal Artifact #62 and Artifact #69.
If you won during your second game, only reveal Artifact #69."
102,Spirits Kindred to Humans,(none),"Thunderspeaker, Shadows Flicker Like Flame",,All other spirits,,England,Standard,Use Dahan Insurrection default scenario,"Since the destruction of the Servant Cults, Dahan rarely go out of their way to tend to a spirit's needs. However, Spirit-Speakers know which spirits have their best interest at heart. When two spirits closest to the Dahan encourage them to take arms and mobilise, they do not hesitate.","Few spirits go out of their way to look after Dahan' interests. In turn, few Dahan go out of their way to look after Spirits' interests. However, in some rare occasions, a strong bond between the two is formed, and few can withstand the strength of such an alliance.","If you won during your first game, reveal Artifact #26 and Artifact #65.
If you won during your second game, only reveal Artifact #26."
103,Spirits of Bounded Influence,(none),"Ocean's Hungry Grasp, Lure of the Deep Wilderness",,All other spirits,,Habsburg,Standard,Use A Diversity of Spirits default scenario,"Most spirits develop affinities by interacting with one another. However, there are some exceptions. Sometimes, there is an odd alliance being formed when spirits agree on borders so well defined that they can work in complement, without ever interfering with one another. Such is the case of Ocean's Hungry Grasp and Lure of the Deep Wilderness: they will never cross each other's path, and in this, they both find satisfaction.","Coasts have always belonged to Ocean's Hungry Grasp, and anything deeper inland is Lure of the Deep Wilderness' domain. On this point, both spirits agree. In this repartition, however, there is no room left for invaders.","If you won during your first game, reveal Artifact #45, Artifact #59 and Artifact #70.
If you won during your second game, only reveal Artifact #45 and Artifact #59."
104,Spirits of Resilience and Retribution,(none),"Vengeance as a Burning Plague, Stone's Unyielding Defiance",,All other spirits,,Sweden,Standard,Add 5 Blight tokens to the blight card. You lose the game if the island ever becomes blighted.,"Not so long ago, before invaders' sails appeared on the horizon, Stone's Unyielding Defiance did not appear so Unyielding, and Vengeance as a Burning Plague was more often than not fast asleep, to the relief of most inhabitants of the archipelago.
It is only recently that the two spirits found common ground, in a shared will to repel the invaders and make them pay for the damage they caused.","From this unexpected alliance, one can take heart: for all the damage the island may have taken, it is still healthy, and before long, it will recover from the fallout of the invasion.","If you won during your first game, reveal Artifact #16 and Artifact #61.
If you won during your second game, only reveal Artifact #61."
105,Spirits of Small Terrors,(none),"Shroud of Silent Mist, Many Minds Move as One",,All other spirits,,Russia,Standard,You can only win by achieving Fear Level: Victory,"Neither Shroud of Silent Mist, nor Many Minds Move as One are high-profile spirits. They often go unnoticed, and when Dahan notice them, they often speak of them in hushed voices, for it is widely believed that it is best to avoid drawing their attention. Those spirits do not belong anywhere near humans; they rarely bring anything good with them.","Of the events that transpired on the island when Shroud of Silent Mist and Many Minds Move as One joined forces, no story will ever be told. Spirit-Speakers know better.","If you won during your first game, reveal Artifact #35 and Artifact #67.
If you won during your second game, only reveal Artifact #35."
106,Spirits of Ages Past,(none),"Shifting Memory of Ages, Serpent Slumbering Beneath the Island",,All other spirits,,Brandenburg-Prussia,Standard,Use Powers Long Forgotten default scenario.,"Spirits have various approaches when it comes to aging. In this, Shifting Memory of Ages' approach is rather rare: few spirits choose forgetfulness. 
It is therefore a bittersweet moment when Serpent Slumbering Beneath the Island greets its Ages-old friend, only to be met with a look of confusion. 
Perhaps some relics of the past can revive a Memory that is long gone?","There is a moment of recollection, and for a time, both spirits exchange and celebrate as if no time had passed at all. As they separate, Serpent Slumbering Beneath the Island savours the moment, knowing that it will have been forgotten before they meet again.","If you won during your first game, reveal Artifact #30 and Artifact #63.
If you won during your second game, only reveal Artifact #30."
107,Newborn Spirits of Wonder,(none),"Starlight Seeks its Form, Heart of the Wildfire",,All other spirits,,First game: England. Second game: Scotland,Standard,"Play your first game without any scenario.
If you win, play a second time with the Second Wave default scenario. This game is only considered won if you won both times. The adjustment to adversary level specified in the Second Wave default scenario is only temporary; as such, Adversary Level should go up by a total of 1, not 2, after both games have been played.

If you lose either games and replay the scenario as a second attempt, you have to win both games once again.

Spirits cannot be unlocked or mastered during this scenario.","The world is always full of wonders in the eyes of a newborn. Heart of the Wildfire spends most of its time sleeping, and rarely gets to experience it, whereas Starlight Seeks its Form has not yet lived for a full year. Who could blame them for trying to explore and discover as much of it as they can?","Spirits run around the island in a joyful spirit of discovery. Are they pushing back invaders on purpose, or is it just an unexpected consequence of their happy rummage?","If you won both your first game and the Second Wave, reveal Artifact #43 and Artifact #48.
If you lost your first attempt, but won on your second attempt, only reveal Artifact #43."
108,Spirits from Another Realm,(none),"Bringer of Dreams and Nightmares, Finder of Paths Unseen",,All other spirits,,Brandenburg-Prussia,Standard,Use Dahan Insurrection default scenario,"The Pathmaker has a Realm of its own, bordering our own. In this Realm, odd beings live. Though most of them care little for our world, some are part of Dahan' lives, for better or worse. One among the most prominent is certainly Bringer of Dreams and Nightmares.
On occasions, Dahan will ask their Spirit-Speakers: “In a Realm so distant, do spirits ever have any impact on our worlds? Why do we pay them any mind?”. Often, Spirit-Speakers will respond with the story of one very specific insurrection, which was aided by those spirits from another realm...","Some Dahan doubt spirits were actually involved at all in the insurrection. Certainly, there were much less present than, say, Thunderspeaker, and their effort was much less visible. Yet when invaders loom on the horizon, numerous Dahan will catch themselves dreaming of another insurrection aided by spirits from a different realm.","If you won during your first game, reveal Artifact #52 and Artifact #66.
If you won during your second game, only reveal Artifact #66."
109,Spirits of the Deepest Jungles,(none),"Sharp Fangs Behind the Leaves, Keeper of the Forbidden Wilds",,All other spirits,,Russia,Standard,Use Guard the Isle's Heart default scenario,"There are secrets hidden at the very heart of the deepest jungles. Most Dahan never dare venture this far, and those that do never come back to tell the tale. However, Sharp Fangs Behind the Leaves is no Dahan, and it calls those jungles its home. There is a truce between the hunting spirit and the Keeper: the hunting spirit may come and go as it pleases, as long as it holds its tongue regarding what it saw - and to this day, it never uttered a word.","Invaders are more foolhardy than Dahan, and old folk tales of dangers deep within the jungles do not sway them. They are another cautionary tale in the making.","If you won during your first game, reveal Artifact #40 and Artifact #55.
If you won during your second game, only reveal Artifact #40."
110,Spirits of Chaos and Excess,(none),"Grinning Trickster Stirs Up Trouble, Downpour Drenches the World",,All other spirits,,Sweden,Standard,"Downpour Drenches the World starts with Twilight Fog Brings Madness and Terror Turns to Madness minor power. Grinning Trickster Stirs Up Trouble starts with Fire in the Sky minor power.

All spirit effects that should destroy invaders push them instead, similar to Bringer of Dreams and Nightmares' special rule. 
At the beginning of the Ravage step, all invaders take damage equal to their attached strife tokens. This may destroy an invader before it deals damage.","Numerous stories recount a wager that was held between Grinning Trickster Stirs Up Trouble and Downpour Drenches the World. Details of the wager are unclear and vary from one storyteller to the next, but its impacts are very clear: chaos on a scale unequaled to this day.","It is said that the expression “Architects of their own Destruction” came to be after the aforementioned events. It is also said that all spirits of the archipelago, big and small, agreed to never let those two wager anything together ever again.","If you won during your first game, reveal Artifact #64 and Artifact #68.
If you won during your second game, only reveal Artifact #64."
111,Spirits of Stormy Heavens,(none),"Lightning's Swift Strike, Fractured Days Split the Sky",,All other spirits,,Habsburg,Standard,Accelerate the invader deck. The top card of the invader deck is always face-up.,"Some stories claim that the Sky can only be Fractured by clashes between the Sun and the Moon. Those stories forget about Lightning's Swift Strike, which can alone, in an instant, Split the Sky to stormy pieces. Who knows what may unfold from the exchanges Lightning and Sky have, so far up above? Perhaps they learn of events up there that are yet to unfold?",Do they forget what they learn when they come down to the island? Is Will-Be replaced by Might-Have-Been long before they reach the ground? This would certainly explain why so many of Lightning's Swift Strike's requests seem nonsensical to Dahan...,"If you won during your first game, reveal Artifact #15 and Artifact #36.
If you won during your second game, only reveal Artifact #36."
112,Spirits of Renewal and Vitality,(none),"River Surges in Sunlight, Vital Strength of the Earth",,All other spirits,,Scotland,Standard,Put 2 additional blight tokens on the blight card. You lose if the island ever becomes blighted.,"Most spirits are focused on pushing back the invaders; few pay attention to what may come next. River Surges in Sunlight and Vital Strength of the Earth are among the few that focus on reconstruction: in partnership with Dahan, they work in protecting, cleaning, and revitalising the island. Together, they embody hope for a better future.","Among confusion and confrontations, a surprisingly large number of spirits and Dahan alike take heart in knowing that there are some among them who work to build a better tomorrow.","If you won during your first game, reveal Artifact #22 and Artifact #46.
If you won during your second game, only reveal Artifact #22."
